"Name.x","Beer_ID","ABV","IBU","Brew_ID","Style","Ounces","Name.y","City","State"
"Disconnected Red",1067,0.067,85,221,"American Amber / Red Ale",16,"Big Choice Brewing","Broomfield"," CO"
"Wavemaker",2095,0.058,38,222,"American Amber / Red Ale",12,"Big Storm Brewing Company","Odessa"," FL"
"Colorado Red Ale",1847,0.066,44,295,"American Amber / Red Ale",12,"Black Shirt Brewing Company","Denver"," CO"
"Bomber Mountain Amber Ale",2484,0.046,20,80,"American Amber / Red Ale",12,"Black Tooth Brewing Company","Sheridan"," WY"
"Last Call Imperial Amber Ale",1320,0.08,30.5,381,"American Amber / Red Ale",12,"Blue Blood Brewing Company","Lincoln"," NE"
"Van Dayum!",2488,0.057,30.5,78,"American Amber / Red Ale",12,"Blue Owl Brewing","Austin"," TX"
"Bozone Select Amber Ale",470,0.055,30.5,220,"American Amber / Red Ale",12,"Bozeman Brewing Company","Bozeman"," MT"
"Evil Owl",2167,0.052,40,208,"American Amber / Red Ale",12,"Branchline Brewing Company","San Antonio"," TX"
"Avalanche Ale",83,0.054,19,392,"American Amber / Red Ale",12,"Breckenridge Brewery","Denver"," CO"
"Manitou Amber",2468,0.053,30.5,86,"American Amber / Red Ale",16,"Brewery Terra Firma","Traverse City"," MI"
"Big Red Coq",1044,0.06,30.5,11,"American Amber / Red Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"Big Red Coq (2012)",677,0.062,30.5,11,"American Amber / Red Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"Broad Brook Ale",2456,0.061,30.5,90,"American Amber / Red Ale",16,"Broad Brook Brewing LLC","East Windsor"," CT"
"Northern Lights Amber Ale",921,0.05,15,494,"American Amber / Red Ale",12,"Broken Tooth Brewing Company","Anchorage"," AK"
"Tule Duck Red Ale (Current)",28,0.062,42,531,"American Amber / Red Ale",16,"Buckbean Brewing Company","Reno"," NV"
"Native Amber",2213,0.063,35,183,"American Amber / Red Ale",16,"COOP Ale Works","Oklahoma City"," OK"
"Native Amber (2013)",170,0.063,35,183,"American Amber / Red Ale",16,"COOP Ale Works","Oklahoma City"," OK"
"Ashland Amber Ale (2009)",794,0.054,24,156,"American Amber / Red Ale",12,"Caldera Brewing Company","Ashland"," OR"
"Ashland Amber Ale",37,0.054,24,156,"American Amber / Red Ale",12,"Caldera Brewing Company","Ashland"," OR"
"Fisherman's Brew",2064,0.055,30,231,"American Amber / Red Ale",12,"Cape Ann Brewing Company","Gloucester"," MA"
"Cape Cod Red",1928,0.055,35,268,"American Amber / Red Ale",16,"Cape Cod Beer","Hyannis"," MA"
"All American Red Ale",1218,0.05,30.5,453,"American Amber / Red Ale",12,"Centennial Beer Company","Edwards"," CO"
"Tocobaga Red Ale",569,0.072,75,142,"American Amber / Red Ale",12,"Cigar City Brewing Company","Tampa"," FL"
"Hurricane Amber Ale (2004)",751,0.052,24,102,"American Amber / Red Ale",12,"Coastal Extreme Brewing Company","Newport"," RI"
"Hurricane Amber Ale",120,0.052,24,102,"American Amber / Red Ale",12,"Coastal Extreme Brewing Company","Newport"," RI"
"Arkansas Red",1650,0.052,30.5,140,"American Amber / Red Ale",12,"Core Brewing & Distilling Company","Springdale"," AR"
"Boohai Red Ale",940,0.06,30.5,64,"American Amber / Red Ale",12,"Crazy Mountain Brewing Company","Edwards"," CO"
"Crazy Mountain Amber Ale",356,0.052,25,64,"American Amber / Red Ale",12,"Crazy Mountain Brewing Company","Edwards"," CO"
"Red Water Irish Style Red",2145,0.065,30.5,213,"American Amber / Red Ale",12,"Crow Peak Brewing Company","Spearfish"," SD"
"South Ridge Amber Ale",1057,0.06,31,473,"American Amber / Red Ale",16,"Crystal Springs Brewing Company","Boulder"," CO"
"Dead Armadillo Amber Ale",1746,0.063,37,331,"American Amber / Red Ale",12,"Dead Armadillo Craft Brewing","Tulsa"," OK"
"Deadicated Amber",924,0.054,27,492,"American Amber / Red Ale",16,"Devil's Canyon Brewery","Belmont"," CA"
"Dock Street Amber Beer (1992)",944,0.05,25,489,"American Amber / Red Ale",12,"Dock Street Brewery","Philadelphia"," PA"
"Dry Dock Amber Ale",871,0.058,49,497,"American Amber / Red Ale",12,"Dry Dock Brewing Company","Aurora"," CO"
"Loki Red Ale",2191,0.075,53,202,"American Amber / Red Ale",16,"Fearless Brewing Company","Estacada"," OR"
"Loki Red Ale (2013)",895,0.075,53,202,"American Amber / Red Ale",16,"Fearless Brewing Company","Estacada"," OR"
"Fascist Pig Ale",935,0.08,72,257,"American Amber / Red Ale",16,"Finch's Beer Company","Chicago"," IL"
"Westfalia",2660,0.056,16,5,"American Amber / Red Ale",12,"Fort Point Beer Company","San Francisco"," CA"
"Old Detroit",1998,0.056,30.5,254,"American Amber / Red Ale",12,"Frankenmuth Brewery","Frankenmuth"," MI"
"Original",2523,0.068,30.5,67,"American Amber / Red Ale",12,"Freetail Brewing Company","San Antonio"," TX"
"Cedar Point",2075,0.05,26,229,"American Amber / Red Ale",12,"Geneva Lake Brewing Company","Lake Geneva"," WI"
"Grand Canyon Sunset Amber Ale",143,0.054,30.5,537,"American Amber / Red Ale",12,"Grand Canyon Brewing Company","Williams"," AZ"
"40th Annual Bix Street Fest Copper Ale (Current)",517,0.048,25,366,"American Amber / Red Ale",16,"Great River Brewery","Davenport"," IA"
"El Rojo",2140,0.065,25,125,"American Amber / Red Ale",16,"Griffin Claw Brewing Company","Birmingham"," MI"
"Annie's Amber Ale",96,0.055,30.5,501,"American Amber / Red Ale",12,"High Noon Saloon And Brewery","Leavenworth"," KS"
"Hilliard's Amber Ale",497,0.055,60,363,"American Amber / Red Ale",16,"Hilliard's Beer","Seattle"," WA"
"Rise Up Red",2388,0.058,60,81,"American Amber / Red Ale",16,"Hopworks Urban Brewery","Portland"," OR"
"Rise-Up Red (2014)",1085,0.058,60,81,"American Amber / Red Ale",16,"Hopworks Urban Brewery","Portland"," OR"
"Oklahoma Suks",2350,0.048,32,141,"American Amber / Red Ale",12,"Independence Brewing Company","Austin"," TX"
"Firefly Amber Ale",688,0.05,30.5,93,"American Amber / Red Ale",12,"Jackie O's Pub & Brewery","Athens"," OH"
"Red Jacket Amber Ale",57,0.051,32,85,"American Amber / Red Ale",12,"Keweenaw Brewing Company","Houghton"," MI"
"Amber Ale",2436,0.051,30.5,103,"American Amber / Red Ale",12,"King Street Brewing Company","Anchorage"," AK"
"Schoolhouse Honey",2492,0.05,30.5,60,"American Amber / Red Ale",12,"Latitude 42 Brewing Company","Portage"," MI"
"Lewis & Clark Amber Ale",473,0.05,30.5,538,"American Amber / Red Ale",12,"Lewis and Clark Brewing Company","Helena"," MT"
"American Hero",1688,0.057,42,299,"American Amber / Red Ale",12,"Liquid Hero Brewery","York"," PA"
"Long Trail Ale",1924,0.046,30,269,"American Amber / Red Ale",12,"Long Trail Brewing Company","Bridgewater Corners"," VT"
"Lumberyard Red Ale",125,0.058,30.5,159,"American Amber / Red Ale",12,"Lumberyard Brewing Company","Flagstaff"," AZ"
"Mac's Scottish Style Amber Ale (2000)",961,0.051,32,486,"American Amber / Red Ale",12,"MacTarnahans Brewing Company","Portland"," OR"
"Happy Amber",1124,0.06,30,92,"American Amber / Red Ale",12,"Madtree Brewing Company","Cincinnati"," OH"
"Real McCoy Amber Ale (Current)",73,0.045,30.5,535,"American Amber / Red Ale",12,"Mammoth Brewing Company","Mammoth Lakes"," CA"
"Rubberneck Red",2197,0.05,35,162,"American Amber / Red Ale",16,"Martin House Brewing Company","Fort Worth"," TX"
"Sobrehumano Palena'ole",690,0.06,24,376,"American Amber / Red Ale",12,"Maui Brewing Company","Lahaina"," HI"
"Volcano Red Ale",2177,0.052,23,204,"American Amber / Red Ale",12,"Mehana Brewing Co.","Hilo"," HI"
"Mickey Finn's Amber Ale",174,0.056,30.5,553,"American Amber / Red Ale",12,"Mickey Finn's Brewery","Libertyville"," IL"
"Louie's Demise Amber Ale",1272,0.051,24,285,"American Amber / Red Ale",16,"Milwaukee Brewing Company","Milwaukee"," WI"
"Louieâ€™s Demise Immort-Ale (2010)",171,0.051,24,285,"American Amber / Red Ale",16,"Milwaukee Brewing Company","Milwaukee"," WI"
"Aurora ",2154,0.067,75,210,"American Amber / Red Ale",16,"Modern Times Beer","San Diego"," CA"
"Blazing World",1492,0.065,115,210,"American Amber / Red Ale",16,"Modern Times Beer","San Diego"," CA"
"Wapiti Amber Ale",327,0.05,30.5,550,"American Amber / Red Ale",12,"Mogollon Brewing Company","Flagstaff"," AZ"
"Train Wreck",1952,0.082,30.5,261,"American Amber / Red Ale",16,"Mountain Town Brewing Company ","Mount Pleasant"," MI"
"Fat Tire Amber Ale",1586,0.052,18,83,"American Amber / Red Ale",12,"New Belgium Brewing Company","Fort Collins"," CO"
"Fat Tire Amber Ale (2011)",748,0.052,18,83,"American Amber / Red Ale",12,"New Belgium Brewing Company","Fort Collins"," CO"
"Fat Tire Amber Ale",563,0.052,18,83,"American Amber / Red Ale",16,"New Belgium Brewing Company","Fort Collins"," CO"
"Fat Tire Amber Ale (2008)",71,0.052,18,83,"American Amber / Red Ale",12,"New Belgium Brewing Company","Fort Collins"," CO"
"Atlantic Amber Ale (2004)",757,0.05,30.5,411,"American Amber / Red Ale",12,"New England Brewing Company","Woodbridge"," CT"
"Atlantic Amber Ale (2007)",40,0.05,30.5,411,"American Amber / Red Ale",12,"New England Brewing Company","Woodbridge"," CT"
"Dammit Jim!",2041,0.052,50,242,"American Amber / Red Ale",12,"New Republic Brewing Company","College Station"," TX"
"Marblehead",1811,0.055,30.5,306,"American Amber / Red Ale",16,"Night Shift Brewing","Everett"," MA"
"Oakshire Amber Ale",1669,0.054,24,151,"American Amber / Red Ale",12,"Oakshire Brewing","Eugene"," OR"
"North 45 Amber Ale",1404,0.059,25,12,"American Amber / Red Ale",16,"Petoskey Brewing","Petoskey"," MI"
"Devils Head Red Ale",1518,0.073,30.5,356,"American Amber / Red Ale",16,"Pikes Peak Brewing Company","Monument"," CO"
"McKinney Eddy Amber Ale",521,0.055,20,315,"American Amber / Red Ale",16,"Piney River Brewing Company","Bucryus"," MO"
"Blood of the Unicorn",2559,0.065,30.5,53,"American Amber / Red Ale",16,"Pipeworks Brewing Company","Chicago"," IL"
"Chronic Ale",1457,0.049,30.5,371,"American Amber / Red Ale",16,"Pizza Port Brewing Company","Carlsbad"," CA"
"Liquid Amber Ale",64,0.05,17,549,"American Amber / Red Ale",12,"Prescott Brewing Company","Prescott"," AZ"
"Copper Hook (2011)",339,0.058,27,488,"American Amber / Red Ale",12,"Redhook Brewery","Woodinville"," WA"
"Colorado Red Ale",220,0.062,30.5,387,"American Amber / Red Ale",12,"Revolution Brewing","Paonia"," CO"
"Hustle",2452,0.057,42,94,"American Amber / Red Ale",12,"Rhinegeist Brewery","Cincinnati"," OH"
"Dad",2132,0.06,60,94,"American Amber / Red Ale",12,"Rhinegeist Brewery","Cincinnati"," OH"
"River North Ale",1179,0.05,30.5,460,"American Amber / Red Ale",16,"River North Brewery","Denver"," CO"
"Patrick's Poison",1877,0.08,30.5,44,"American Amber / Red Ale",12,"Rivertowne Brewing Company","Export"," PA"
"Rudolph's Red",1764,0.081,30.5,44,"American Amber / Red Ale",12,"Rivertowne Brewing Company","Export"," PA"
"Rochester Red Ale",899,0.059,30.5,230,"American Amber / Red Ale",16,"Rochester Mills Brewing Company","Rochester"," MI"
"Rogue American Amber Ale",1860,0.051,30.5,290,"American Amber / Red Ale",16,"Rogue Ales","Newport"," OR"
"1881 California Red",1479,0.056,35,398,"American Amber / Red Ale",12,"Ruhstaller Beer Company","Sacramento"," CA"
"1881 California Red Ale",882,0.056,35,398,"American Amber / Red Ale",16,"Ruhstaller Beer Company","Sacramento"," CA"
"Epicenter Amber Ale",1073,0.055,20,31,"American Amber / Red Ale",12,"SanTan Brewing Company","Chandler"," AZ"
"Epicenter Amber Ale (2010)",124,0.055,20,31,"American Amber / Red Ale",12,"SanTan Brewing Company","Chandler"," AZ"
"Seventh Son Hopped Red Ale",1767,0.077,40,184,"American Amber / Red Ale",16,"Seventh Son Brewing Company","Columbus"," OH"
"Red Mountain Ale",161,0.06,30.5,552,"American Amber / Red Ale",12,"Silverton Brewery","Silverton"," CO"
"Iron Butt Red Ale",1792,0.058,39,314,"American Amber / Red Ale",12,"Slanted Rock Brewing Company","Meridian"," ID"
"Murphy's Law",2406,0.058,35,116,"American Amber / Red Ale",12,"Smartmouth Brewing Company","Norfolk"," VA"
"Mississippi Fire Ant",1745,0.08,80,134,"American Amber / Red Ale",16,"Southern Prohibition Brewing Com...","Hattiesburg"," MS"
"Angry Adam",2134,0.06,30.5,176,"American Amber / Red Ale",16,"Spiteful Brewing Company","Chicago"," IL"
"Wisco Disco",953,0.051,31,487,"American Amber / Red Ale",16,"Stillmank Beer Company","Green Bay"," WI"
"Yard Sale Amber Ale",1432,0.056,30.5,410,"American Amber / Red Ale",16,"Tamarack Brewing Company","Lakeside"," MT"
"Bomber Mountain Amber Ale (2013)",1200,0.046,20,458,"American Amber / Red Ale",12,"The Black Tooth Brewing Company","Sheridan"," WY"
"Northern Hawk Owl Amber",1278,0.058,30.5,439,"American Amber / Red Ale",12,"The Right Brain Brewery","Traverse City"," MI"
"Leatherhead Red",1889,0.052,30.5,283,"American Amber / Red Ale",12,"Thunderhead Brewing Company","Kearney"," NE"
"Perfect Tin Amber",494,0.045,28,153,"American Amber / Red Ale",12,"Tin Roof Brewing Company","Baton Rouge"," LA"
"Farmer's Tan Red Ale",1936,0.06,30,266,"American Amber / Red Ale",12,"Tractor Brewing Company","Albuquerque"," NM"
"Nugget Nectar",2444,0.075,93,98,"American Amber / Red Ale",16,"Tröegs Brewing Company","Hershey"," PA"
"Immersion Amber",1660,0.052,27,191,"American Amber / Red Ale",12,"Two Beers Brewing Company","Seattle"," WA"
"Immersion Amber Ale (2011)",518,0.052,27,191,"American Amber / Red Ale",12,"Two Beers Brewing Company","Seattle"," WA"
"T-6 Red Ale (2004)",780,0.047,30.5,507,"American Amber / Red Ale",12,"Warbird Brewing Company","Fort Wayne"," IN"
"West Sixth Amber Ale",1069,0.055,30.5,101,"American Amber / Red Ale",12,"West Sixth Brewing","Lexington"," KY"
"Drop Kick Ale",2340,0.052,30.5,133,"American Amber / Red Ale",12,"Weston Brewing Company","Weston"," MO"
"Rail Yard Ale",807,0.052,30.5,425,"American Amber / Red Ale",12,"Wynkoop Brewing Company","Denver"," CO"
"Rail Yard Ale (2009)",84,0.052,30.5,425,"American Amber / Red Ale",12,"Wynkoop Brewing Company","Denver"," CO"
"Colorado Native",1165,0.055,26,463,"American Amber / Red Lager",12,"AC Golden Brewing Company","Golden"," CO"
"Colorado Native (2011)",431,0.055,26,463,"American Amber / Red Lager",12,"AC Golden Brewing Company","Golden"," CO"
"Abita Amber",514,0.045,17,534,"American Amber / Red Lager",12,"Abita Brewing Company","Abita Springs"," LA"
"California Lager",2103,0.049,23,36,"American Amber / Red Lager",12,"Anchor Brewing Company","San Francisco"," CA"
"Brooklyn Lager (16 oz.)",66,0.052,23,438,"American Amber / Red Lager",16,"Brooklyn Brewery","Brooklyn"," NY"
"Brooklyn Lager (12 oz.)",65,0.052,23,438,"American Amber / Red Lager",12,"Brooklyn Brewery","Brooklyn"," NY"
"Chin Music Amber Lager",1839,0.045,24,123,"American Amber / Red Lager",12,"Center of the Universe Brewing C...","Ashland"," VA"
"Dottie Seattle Lager",673,0.049,25,517,"American Amber / Red Lager",16,"Emerald City Beer Company","Seattle"," WA"
"1811 Lager",319,0.051,23,207,"American Amber / Red Lager",16,"Fort George Brewery","Astoria"," OR"
"Sympathy for the Lager",465,0.049,45,126,"American Amber / Red Lager",12,"Karbach Brewing Company","Houston"," TX"
"Longboard Island Lager",1274,0.046,18,440,"American Amber / Red Lager",24,"Kona Brewing Company","Kona"," HI"
"Longboard Island Lager",1220,0.046,18,440,"American Amber / Red Lager",16,"Kona Brewing Company","Kona"," HI"
"Longboard Island Lager",1070,0.046,18,440,"American Amber / Red Lager",12,"Kona Brewing Company","Kona"," HI"
"Longboard Island Lager",590,0.046,18,440,"American Amber / Red Lager",12,"Kona Brewing Company","Kona"," HI"
"Mustang Sixty-Six",1598,0.05,23,367,"American Amber / Red Lager",12,"Mustang Brewing Company","Mustang"," OK"
"California Route",1737,0.055,23,83,"American Amber / Red Lager",12,"New Belgium Brewing Company","Fort Collins"," CO"
"Lizzy's Red",1529,0.055,23,391,"American Amber / Red Lager",16,"Orlison Brewing Company","Airway Heights"," WA"
"RT Lager",1100,0.055,23,44,"American Amber / Red Lager",12,"Rivertowne Brewing Company","Export"," PA"
"Track 1 Amber Lager",1330,0.045,23,428,"American Amber / Red Lager",16,"Roanoke Railhouse Brewery","Roanoke"," VA"
"Ruhstaller's Gilt Edge Lager Beer",1370,0.048,42,398,"American Amber / Red Lager",12,"Ruhstaller Beer Company","Sacramento"," CA"
"Steam Engine Lager",91,0.057,25,120,"American Amber / Red Lager",12,"Steamworks Brewing Company","Durango"," CO"
"Point Amber Classic",139,0.047,14,132,"American Amber / Red Lager",12,"Stevens Point Brewery","Stevens Point"," WI"
"American Amber",2232,0.041,8,130,"American Amber / Red Lager",12,"Straub Brewery","St Mary's"," PA"
"Dam Lager",1207,0.045,23,456,"American Amber / Red Lager",12,"Sunken City Brewing Company","Hardy"," VA"
"Manhattan Gold Lager (1990)",963,0.053,23,485,"American Amber / Red Lager",12,"The Manhattan Brewing Company","New York"," NY"
"Cow Creek",2588,0.054,26,39,"American Amber / Red Lager",12,"Twisted X Brewing Company","Dripping Springs"," TX"
"Yard Sale Winter Lager",2100,0.04,22,160,"American Amber / Red Lager",12,"Uinta Brewing Company","Salt Lake City"," UT"
"Pop's Old Fashioned Lager",1551,0.052,23,352,"American Amber / Red Lager",12,"Westfield River Brewing Company","Westfield"," MA"
"#001 Golden Amber Lager",2149,0.055,23,212,"American Amber / Red Lager",12,"Wisconsin Brewing Company","Verona"," WI"
"Lower De Boom",1036,0.099,92,369,"American Barleywine",8.4,"21st Amendment Brewery","San Francisco"," CA"
"Big Chuck Barleywine",1909,0.099,96,275,"American Barleywine",12,"Portside Brewery","Cleveland"," OH"
"Old Devil's Tooth",1160,0.099,100,310,"American Barleywine",12,"Sockeye Brewing Company","Boise"," ID"
"Back in Black",173,0.068,65,369,"American Black Ale",12,"21st Amendment Brewery","San Francisco"," CA"
"Alter Ego",2287,0.055,73,61,"American Black Ale",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Heavy Machinery IPA Series #1: Heavy Fist",1409,0.07,73,414,"American Black Ale",16,"Austin Beerworks","Austin"," TX"
"Cold Press",2496,0.06,73,76,"American Black Ale",12,"Bent Paddle Brewing Company","Duluth"," MN"
"Bent Paddle Black Ale",1261,0.06,34,76,"American Black Ale",12,"Bent Paddle Brewing Company","Duluth"," MN"
"Toxic Sludge",939,0.07,73,490,"American Black Ale",16,"Blue Point Brewing Company","Patchogue"," NY"
"Black Rabbit",1267,0.05,73,11,"American Black Ale",16,"Brewery Vivant","Grand Rapids"," MI"
"Black Adder IBA (Current)",383,0.073,85,531,"American Black Ale",16,"Buckbean Brewing Company","Reno"," NV"
"Black Beer'd",2607,0.068,73,25,"American Black Ale",16,"Burn 'Em Brewing","Michigan City"," IN"
"Dark Voyage Black IPA (2013)",2227,0.065,80,193,"American Black Ale",12,"Capital Brewery","Middleton"," WI"
"Epitome",2094,0.099,100,223,"American Black Ale",16,"Carton Brewing Company","Atlantic Highlands"," NJ"
"Catch 23",1646,0.075,77,351,"American Black Ale",16,"Central Coast Brewing Company","San Luis Obispo"," CA"
"Wandering Pelican",2013,0.082,65,142,"American Black Ale",12,"Cigar City Brewing Company","Tampa"," FL"
"Cascadian Dark Ale",1393,0.06,75,419,"American Black Ale",12,"Coalition Brewing Company","Portland"," OR"
"Eclipse Black IPA",556,0.077,71,516,"American Black Ale",16,"Crabtree Brewing Company","Greeley"," CO"
"Kaleidoscope Collaboration 2012",731,0.055,73,492,"American Black Ale",16,"Devil's Canyon Brewery","Belmont"," CA"
"Sobek & Set",1664,0.08,80,257,"American Black Ale",16,"Finch's Beer Company","Chicago"," IL"
"Next Adventure Black IPA",1566,0.062,73,207,"American Black Ale",16,"Fort George Brewery","Astoria"," OR"
"Mothman Black IPA",2313,0.067,71,157,"American Black Ale",12,"Greenbrier Valley Brewing Company","Lewisburg"," WV"
"Midnight Ryder",729,0.065,80,278,"American Black Ale",12,"Indeed Brewing Company","Minneapolis"," MN"
"CuDa Cascadian Dark Ale",1536,0.074,73,388,"American Black Ale",16,"Natian Brewery","Portland"," OR"
"CuDa Cascadian Dark Ale (2012)",746,0.074,73,388,"American Black Ale",16,"Natian Brewery","Portland"," OR"
"Black",2631,0.058,73,14,"American Black Ale",12,"Perrin Brewing Company","Comstock Park"," MI"
"Masked Bandit IPA",1540,0.07,73,315,"American Black Ale",16,"Piney River Brewing Company","Bucryus"," MO"
"BLAKKR",1861,0.099,85,129,"American Black Ale",12,"Real Ale Brewing Company","Blanco"," TX"
"Alpha Blackback",1841,0.072,73,165,"American Black Ale",12,"Round Guys Brewing","Lansdale"," PA"
"CAPT Black IPA",1478,0.073,55,398,"American Black Ale",12,"Ruhstaller Beer Company","Sacramento"," CA"
"CAPT Black IPA",883,0.073,55,398,"American Black Ale",16,"Ruhstaller Beer Company","Sacramento"," CA"
"Sanitas Black IPA",1391,0.068,65,420,"American Black Ale",12,"Sanitas Brewing Company","Boulder"," CO"
"Black IPA",967,0.071,95,393,"American Black Ale",12,"Santa Fe Brewing Company","Santa Fe"," NM"
"Black Hop IPA",2368,0.068,73,131,"American Black Ale",12,"Shebeen Brewing Company","Wolcott"," CT"
"Onyx Black Ale",2151,0.052,9,132,"American Black Ale",12,"Stevens Point Brewery","Stevens Point"," WI"
"Brontide",1983,0.05,73,256,"American Black Ale",12,"Stillwater Artisanal Ales","Baltimore"," MD"
"Brontide",1631,0.05,73,256,"American Black Ale",12,"Stillwater Artisanal Ales","Baltimore"," MD"
"BLAKKR",1739,0.099,85,62,"American Black Ale",16,"Surly Brewing Company","Brooklyn Center"," MN"
"Bronx Black Pale Ale",1747,0.057,46,330,"American Black Ale",16,"The Bronx Brewery","Bronx"," NY"
"Beach Blonde",2518,0.05,20,68,"American Blonde Ale",12,"3 Daughters Brewing","St Petersburg"," FL"
"Send Help",2544,0.045,18,61,"American Blonde Ale",12,"4 Hands Brewing Company","Saint Louis"," MO"
"Honey Badger Blonde",2510,0.047,19,70,"American Blonde Ale",16,"Appalachian Mountain Brewery","Boone"," NC"
"This Season's Blonde",597,0.056,27,524,"American Blonde Ale",12,"Aspen Brewing Company","Aspen"," CO"
"Dirty Blonde Ale",534,0.045,8,73,"American Blonde Ale",12,"Atwater Brewery","Detroit"," MI"
